1;1;Is BEFORE_PYRKON and sent WANT_TO_ENTER PYRKON[0] to 0
1;1;Is BEFORE_PYRKON and sent WANT_TO_ENTER PYRKON[0] to 2
1;1;Is BEFORE_PYRKON and sent WANT_TO_ENTER PYRKON[0] to 3
1;1;Is BEFORE_PYRKON and sent WANT_TO_ENTER PYRKON[0] to 4
1;1;Is BEFORE_PYRKON and sent WANT_TO_ENTER PYRKON[0] to 5
1;1;Is BEFORE_PYRKON and sent WANT_TO_ENTER PYRKON[0] to 6
1;1;Is BEFORE_PYRKON and sent WANT_TO_ENTER PYRKON[0] to 7
1;1;Is BEFORE_PYRKON and sent WANT_TO_ENTER PYRKON[0] to 8
1;1;Is BEFORE_PYRKON and sent WANT_TO_ENTER PYRKON[0] to 9
1;1;Waiting for Pyrkon.
1;1;STATUS: WIADOMOSC-S '1(0)' do 0
1;2;Received a valid message from [8]
1;2;Waiting for messages.
1;10;Received a valid message from [0]
1;10;Waiting for messages.
1;10;Received info that [8] wants to enter Pyrkon.
1;10;Closing semaphore allowing_pyrkon {allow_pyrkon}.
1;10;S-FOR CZEKA [8].
1;10;Opening semaphore allowing_pyrkon.
1;10;Received agreement to enter Pyrkon from [0].
1;10;AEPE 1
1;10;STATUS: WIADOMOSC-S '1(0)' do 2
1;10;STATUS: WIADOMOSC-S '1(0)' do 3
1;11;Received a valid message from [2]
1;11;Waiting for messages.
1;12;Received a valid message from [9]
1;12;Waiting for messages.
1;12;Received info that [2] wants to enter Pyrkon.
1;12;Closing semaphore allowing_pyrkon {allow_pyrkon}.
1;12;S-FOR CZEKA [2].
1;12;Opening semaphore allowing_pyrkon.
1;12;Received info that [9] wants to enter Pyrkon.
1;12;Closing semaphore allowing_pyrkon {allow_pyrkon}.
1;12;S-FOR CZEKA [9].
1;12;Opening semaphore allowing_pyrkon.
1;12;STATUS: WIADOMOSC-S '1(0)' do 4
1;13;Received a valid message from [4]
1;13;Waiting for messages.
1;13;Received agreement to enter Pyrkon from [4].
1;13;AEPE 2
1;13;STATUS: WIADOMOSC-S '1(0)' do 5
1;14;Received a valid message from [3]
1;14;Waiting for messages.
1;14;Received agreement to enter Pyrkon from [3].
1;14;AEPE 3
1;15;Received a valid message from [5]
1;15;Waiting for messages.
1;15;Received agreement to enter Pyrkon from [5].
1;15;AEPE 4
1;15;STATUS: WIADOMOSC-S '1(0)' do 6
1;15;STATUS: WIADOMOSC-S '1(0)' do 7
1;16;Received a valid message from [6]
1;16;Waiting for messages.
1;16;Received agreement to enter Pyrkon from [6].
1;16;AEPE 5
1;17;Received a valid message from [7]
1;17;Waiting for messages.
1;17;Received agreement to enter Pyrkon from [7].
1;17;AEPE 6
1;17;STATUS: WIADOMOSC-S '1(0)' do 8
1;17;STATUS: WIADOMOSC-S '1(0)' do 9
1;18;Received a valid message from [8]
1;18;Waiting for messages.
1;19;Received a valid message from [9]
1;19;Waiting for messages.
1;19;Received agreement to enter Pyrkon from [8].
1;19;AEPE 7
1;19;SSSR: WCHODZI NA PYRKON (0)
1;19;SS 2
1;19;SS 3
1;19;Opening semaphore wait_for_agreement_to_enter {AEPE}
1;19;STATUS: ENTERING_PYRKON: (0)
1;19;Entering Pyrkon.
1;19;Closing semaphore on_pyrkon_mutex BP1.
1;19;SS 4
1;19;Closing semaphore allowing_pyrkon BP2.
1;19;SS 5
1;19;SS 6
1;19;Opening semaphore allowing_lecture BP.
1;19;BEFORE-E
1;20;Received a valid message from [2]
1;20;Waiting for messages.
1;21;Received a valid message from [0]
1;21;Waiting for messages.
1;21;Received info that [0] wants to enter Pyrkon.
1;21;Closing semaphore allowing_pyrkon {allow_pyrkon}.
1;22;Received a valid message from [7]
1;22;Waiting for messages.
1;23;Received a valid message from [3]
1;23;Waiting for messages.
1;23;Received info that [3] wants to enter Pyrkon.
